psraid,Vote/lean, Jobs Imp.,Health Care Imp.,Abortion Imp.,Foreign Policy Imp.,Taxes Imp.,Budget deficit Imp.,Jobs,Health Care,Abortion,Foreign Policy,Taxes,Federal Budget Deficit
51105,2,3,2,3,3,3,3,1,1,1,1,1,1
51107,2,3,3,2,2,3,3,1,1,2,1,1,1
51115,2,3,3,1,3,3,3,1,1,2,1,1,1
51142,2,3,3,3,3,3,3,1,1,1,1,1,1
51172,2,3,3,0,3,3,3,1,1,2,2,1,1
51198,2,3,3,3,3,3,3,1,9,9,1,2,1
51213,2,3,3,3,3,3,3,1,1,1,1,1,1
51220,2,3,3,3,3,3,3,1,1,1,1,1,1
51230,2,3,2,2,3,3,3,1,1,1,1,1,1
51238,2,3,3,2,3,3,3,1,1,1,1,1,1
51246,2,3,3,0,2,3,3,1,1,1,1,1,1
51254,2,3,3,3,3,3,3,9,9,9,9,9,9
51279,2,3,3,3,3,3,2,1,1,1,1,2,1
51297,2,3,3,3,3,3,3,1,1,1,1,1,1
51309,2,3,3,0,3,3,3,1,1,1,1,1,1
51310,2,3,3,3,3,3,3,1,1,1,1,1,1
51319,2,3,2,1,2,2,3,1,2,2,2,2,1
51322,2,3,3,0,3,3,3,1,3,2,1,1,1
51349,2,3,3,0,3,0,2,1,1,3,9,1,9
51369,2,3,2,2,3,2,3,1,1,1,1,1,1
51394,2,3,3,2,3,3,2,1,1,1,1,1,1
51396,2,3,3,3,3,2,3,1,1,1,1,1,1
51407,2,3,2,2,2,2,3,1,1,1,1,1,1
51410,2,3,3,3,3,2,3,1,1,1,1,1,1
51413,2,3,3,2,3,2,3,1,1,1,1,1,1
51438,2,3,3,2,3,2,3,1,1,1,1,1,1
51443,2,3,3,1,2,2,3,1,3,3,3,1,1
51453,2,3,3,1,2,2,3,1,1,9,3,1,3
51457,2,3,2,2,3,2,3,1,1,1,1,1,1
51463,2,3,3,3,3,3,3,1,1,1,1,1,1
51488,2,3,2,2,3,2,3,1,1,1,1,1,1
51491,2,3,3,0,3,2,3,1,1,9,1,1,1
51495,2,3,3,3,1,3,3,2,3,3,3,2,3
51503,2,3,2,0,3,0,3,1,1,3,1,1,1
51517,2,3,2,3,3,3,3,1,9,9,1,1,1
51559,2,3,3,3,1,3,1,1,1,1,1,2,1
51573,2,3,3,2,3,3,3,1,1,1,1,1,1
51577,2,3,2,2,3,2,3,1,1,1,1,1,1
51593,2,3,2,2,2,3,3,1,1,2,1,1,1
51604,2,3,3,3,3,3,3,1,1,1,1,1,1
51613,2,3,3,3,3,3,3,1,1,1,1,1,1
51618,2,3,3,3,3,3,3,1,1,1,1,1,1
51636,2,3,1,1,3,3,3,1,1,1,1,1,1
51637,2,3,2,3,3,2,2,1,1,1,1,1,1
51641,2,3,2,2,3,3,3,1,1,1,1,1,1
51661,2,3,3,3,3,3,3,1,1,1,1,1,1
51674,2,3,3,3,3,3,3,1,1,1,1,1,1
51679,2,3,3,1,2,3,2,1,1,2,1,2,1
51693,2,3,3,2,3,3,3,1,1,1,1,1,1
51709,2,3,3,3,3,3,3,1,1,1,1,1,1
51739,2,3,3,0,3,3,3,1,1,1,1,1,1
51740,2,3,3,3,3,2,3,1,1,1,1,2,1
51749,2,3,3,3,3,3,3,1,1,1,1,1,1
51757,2,3,3,2,2,3,3,1,1,1,1,1,1
51758,2,3,2,3,3,3,3,1,1,1,1,1,1
51782,2,3,3,3,3,3,3,1,1,1,1,1,1
51784,2,3,3,3,3,2,3,1,1,1,1,1,1
51788,2,3,3,2,3,3,3,1,1,1,1,1,1
51792,2,3,3,3,3,3,3,1,1,1,1,1,1
51796,2,3,3,3,3,3,3,1,1,1,1,1,1
51809,2,3,3,1,3,3,3,1,1,1,1,1,1
51828,2,3,3,3,3,3,3,1,9,1,1,1,1
51830,2,3,3,3,3,3,3,1,1,1,1,1,1
51840,2,3,3,3,2,2,2,3,1,1,1,3,3
51851,2,3,2,1,3,3,3,1,1,1,1,1,1
51854,2,3,3,0,2,3,0,1,1,1,1,1,1
51858,2,3,2,2,2,3,2,1,1,1,1,1,1
51874,2,3,3,3,3,3,3,1,1,1,1,1,1
51891,2,3,3,2,2,3,3,1,1,1,1,1,1
51896,2,3,3,0,3,3,3,1,1,1,1,1,1
51905,2,3,2,2,2,3,3,1,1,1,1,1,1
51911,2,3,2,3,3,3,3,1,1,1,1,1,1
51914,2,3,2,2,2,2,3,1,9,1,1,1,1
51916,2,3,3,2,3,3,3,1,1,1,1,1,1
51924,2,3,3,2,3,3,3,1,1,1,1,1,1
51964,2,3,2,0,3,3,3,1,1,1,1,1,1
51970,2,3,3,1,3,3,3,1,1,1,1,1,1
51972,2,3,3,2,3,2,2,1,1,1,1,1,1
51976,2,3,2,3,3,2,3,1,1,1,1,1,1
51981,2,3,3,2,2,3,2,1,1,1,1,1,1
51984,2,3,3,3,3,3,3,1,1,1,1,1,1
51988,2,3,3,3,3,3,3,1,1,1,1,1,1
52008,2,3,3,3,3,2,3,1,1,1,1,1,1
52029,2,3,1,3,3,3,3,1,1,1,1,1,1
52031,2,3,3,3,3,3,3,1,1,1,1,1,1
52035,2,3,3,2,3,2,3,1,3,1,1,1,1
52058,2,3,3,3,3,3,2,1,1,9,9,9,1
52062,2,3,1,3,3,1,1,9,1,1,3,9,3
52075,2,3,3,0,2,2,3,1,1,2,2,1,2
52094,2,3,3,0,3,3,3,1,1,2,1,1,1
52096,2,3,3,1,2,3,3,1,1,1,1,1,1
75064,2,3,2,0,2,3,3,1,1,1,1,1,1
75087,2,3,3,3,3,3,3,1,1,2,1,1,1
75145,2,3,2,3,2,3,3,1,1,1,1,1,1
75205,2,3,2,1,3,2,3,1,1,1,1,1,1
75212,2,3,2,3,3,2,3,1,1,1,1,1,1
75242,2,3,3,0,2,3,3,1,1,9,1,1,1
75246,2,3,3,3,2,3,3,1,1,1,1,1,1
75271,2,3,3,3,3,3,3,1,1,1,1,1,1
75296,2,3,3,2,3,3,3,1,1,1,1,1,1
75331,2,3,3,3,1,3,3,9,9,1,1,1,3
75338,2,3,3,2,3,3,3,1,1,1,1,1,1
75352,2,3,2,3,2,2,3,1,1,1,3,1,1
75361,2,3,3,0,3,2,3,1,1,1,1,1,1
75382,2,3,3,2,2,2,3,1,1,1,1,1,1
75383,2,3,3,2,3,3,3,1,1,1,1,1,1
75388,2,3,2,1,3,2,3,1,1,2,2,1,1
75392,2,3,3,2,3,3,3,1,1,2,1,1,1
75393,2,3,2,3,2,2,3,1,1,9,1,3,3
75446,2,3,3,3,3,2,2,1,1,1,1,1,1
75454,2,3,3,3,3,3,3,1,1,9,1,1,1
75460,2,3,3,1,2,1,3,1,1,9,9,1,3
75490,2,3,3,2,3,2,3,1,1,1,1,1,1
75538,2,3,3,1,3,3,3,2,1,1,1,2,1
75570,2,3,3,0,3,2,3,1,1,1,1,1,1
75606,2,3,3,3,3,3,3,1,1,1,1,1,1
75682,2,3,3,3,3,3,3,1,1,1,1,1,1
75686,2,3,3,3,3,3,3,1,1,1,1,1,1
75695,2,3,2,0,2,3,3,1,1,3,1,1,1
75701,2,3,2,3,3,3,3,1,1,9,9,2,1
75706,2,3,3,3,2,3,3,2,2,2,2,2,2
75708,2,3,3,3,3,3,3,1,1,1,2,1,1
75717,2,3,3,2,3,3,3,1,1,1,1,1,1
75718,2,3,2,0,2,3,2,1,1,2,1,1,1
75721,2,3,3,1,3,2,3,1,1,1,1,1,1
75757,2,3,3,3,3,3,3,1,1,1,1,1,1
75763,2,3,2,2,3,2,3,1,1,1,1,1,1
75846,2,3,2,2,1,3,2,1,1,2,1,1,1
75862,2,3,3,3,3,3,3,1,1,1,1,1,1
75933,2,3,3,3,3,3,3,1,1,1,1,1,1
75966,2,3,3,3,3,3,2,1,1,1,9,1,1
75976,2,3,3,1,3,2,3,1,1,1,1,1,1
76145,2,3,3,3,2,3,2,1,1,1,1,1,1
76154,2,3,3,3,3,2,2,1,1,1,1,1,1
76155,2,3,3,3,3,3,3,1,1,1,1,1,1
76219,2,3,2,3,3,3,3,1,1,1,1,1,1
76230,2,3,3,3,2,3,3,1,1,9,2,1,1
76238,2,3,3,3,3,3,3,1,1,1,1,1,1
76311,2,3,3,3,3,3,3,1,1,1,1,1,1
76324,2,3,3,0,2,2,3,1,1,2,1,1,1
76358,2,3,3,3,3,3,3,1,1,1,1,1,1
76397,2,3,1,3,2,3,3,1,1,1,1,1,1
76446,2,3,2,2,3,2,3,1,1,1,1,1,1
76460,2,3,3,3,2,3,3,1,1,1,1,1,1
76467,2,3,3,3,3,3,3,1,1,1,1,1,1
76602,2,3,3,2,2,3,3,1,1,1,1,1,1
76704,2,3,3,0,3,3,3,1,1,1,1,1,1
76727,2,3,3,2,3,3,3,1,1,2,2,1,1
76830,2,3,0,0,3,3,3,1,1,2,1,2,1
76856,2,3,3,1,2,1,3,1,1,1,1,1,1
76878,2,3,3,2,3,2,3,1,1,1,1,1,1
76904,2,3,3,3,3,3,2,1,1,1,1,1,1
100022,2,3,0,3,3,3,3,1,1,1,1,1,1
100032,2,3,2,2,3,0,3,1,1,1,1,1,1
100086,2,3,3,3,3,2,3,1,1,1,1,1,1
100118,2,3,2,3,3,3,3,1,1,1,1,1,1
100123,2,3,3,3,2,3,3,1,1,3,1,1,1
100137,2,3,2,2,3,3,3,1,1,9,1,1,1
100219,2,3,1,1,3,1,3,1,9,1,1,9,1
100227,2,3,3,2,2,3,3,1,1,1,1,1,1
100238,2,3,3,2,3,3,3,1,1,1,1,1,1
100243,2,3,3,1,2,3,3,1,1,1,1,1,1
100261,2,3,3,3,2,3,3,1,1,1,1,1,1
100282,2,3,3,3,2,3,3,1,1,1,1,1,1
100324,2,3,3,3,3,3,3,1,1,1,1,1,1
100343,2,3,3,3,3,3,3,1,1,1,1,1,1
100383,2,3,3,0,3,2,3,1,1,1,1,1,1
100440,2,3,3,3,3,2,3,1,1,1,1,1,1
100446,2,3,3,2,2,3,3,1,1,1,1,1,1
100500,2,3,3,3,3,3,3,1,1,1,1,1,1
100533,2,3,3,2,3,1,2,1,2,2,9,1,1
100569,2,3,3,3,3,3,3,1,1,1,1,1,1
100574,2,3,2,3,3,3,2,1,1,1,1,1,1
100642,2,3,3,3,3,2,3,1,1,1,1,1,1
100659,2,3,2,0,2,2,3,1,1,9,1,1,1
100713,2,3,3,1,3,3,3,1,1,1,1,1,1
100763,2,3,3,3,3,3,3,1,1,1,1,1,1
100812,2,3,3,3,3,3,3,1,1,1,1,1,1
100820,2,3,2,3,2,3,2,9,9,9,9,9,9
100853,2,3,0,1,3,3,3,1,1,1,1,1,1
100866,2,3,3,0,3,3,3,1,1,9,2,1,3
100901,2,3,2,3,3,3,3,1,3,1,1,9,3
101014,2,3,3,2,1,3,2,1,1,1,1,1,1
101034,2,3,3,3,3,3,3,1,1,1,1,1,1
101116,2,3,3,3,3,3,3,1,1,1,1,1,1
101125,2,3,2,2,2,2,3,1,1,1,1,1,1
101143,2,3,3,3,3,3,3,1,1,1,1,1,1
101186,2,3,3,3,3,3,3,1,1,1,1,1,1
101189,2,3,3,3,3,3,3,1,1,1,1,1,1
101204,2,3,2,1,3,3,3,1,1,9,1,1,1
101306,2,3,3,3,3,3,3,1,1,1,1,1,1
101360,2,3,2,0,2,3,2,1,1,1,3,1,3
101397,2,3,3,3,3,3,3,1,1,1,1,1,1
101458,2,3,3,2,3,3,3,1,1,1,1,1,1
101497,2,3,3,1,3,3,3,1,1,1,1,1,1
101544,2,3,3,2,3,3,3,1,1,1,1,1,1
101552,2,3,3,2,3,3,3,1,1,1,1,1,1
101596,2,3,3,1,3,3,3,1,1,3,1,1,1
101599,2,3,3,0,3,3,3,1,1,1,1,1,1
101680,2,3,2,3,3,3,3,1,1,1,1,1,1
101745,2,3,3,3,3,3,3,1,1,1,1,1,1
101839,2,3,3,0,3,2,3,1,1,9,1,1,1
101871,2,3,3,2,3,3,3,1,1,1,1,1,1
101924,2,3,3,3,3,3,3,1,1,1,1,1,1
101934,2,3,3,2,3,3,3,1,1,1,1,1,1
101940,2,3,3,3,3,3,2,1,1,1,1,1,1
101949,2,3,1,0,3,3,3,1,3,3,1,1,1
101969,2,3,2,2,3,3,3,1,1,1,1,1,1
101973,2,3,2,1,3,3,3,1,1,1,1,1,1
102017,2,3,3,3,3,3,3,1,1,1,1,1,1
102058,2,3,3,3,3,3,3,1,1,1,1,1,1
102065,2,3,3,2,2,3,3,1,1,1,1,1,1
102086,2,3,3,3,3,3,3,1,1,1,1,1,1
102096,2,3,3,3,3,3,3,1,1,1,1,1,1
102117,2,3,3,3,3,3,3,1,1,1,1,1,1
102129,2,3,2,3,3,2,3,1,1,1,1,1,1
102141,2,3,3,3,3,2,1,9,2,9,1,1,1
102155,2,3,1,1,3,1,3,1,1,3,1,1,1
102208,2,3,3,1,3,2,3,1,1,1,1,1,1
102240,2,3,2,3,3,3,3,1,1,1,1,1,1
102313,2,3,3,1,3,2,3,1,1,1,1,1,1
102333,2,3,3,3,2,3,3,1,1,1,1,1,1
102357,2,3,3,3,2,3,3,1,1,1,9,1,1
102373,2,3,3,2,3,3,3,1,1,1,1,1,1
102454,2,3,2,0,3,2,2,1,1,9,1,1,1
102471,2,3,3,3,3,3,3,1,1,1,1,1,1
102472,2,3,3,1,3,3,3,1,1,1,1,1,1
102484,2,3,3,3,3,2,2,1,1,1,1,1,1
102509,2,3,2,1,2,3,3,1,1,1,1,1,1
102522,2,3,2,2,2,0,3,1,1,1,1,1,1
102524,2,3,3,2,2,3,3,1,1,1,1,1,1
102531,2,3,3,2,3,3,3,1,1,1,1,1,1
102542,2,3,3,2,3,2,3,1,1,9,1,1,1
102569,2,3,3,3,3,2,3,1,1,1,1,1,1
102644,2,3,3,1,3,3,3,1,1,1,1,1,1
102646,2,3,2,2,2,3,3,1,1,1,1,1,1
102673,2,3,3,3,3,2,3,1,1,1,1,1,1
102752,2,3,3,0,3,2,3,1,1,1,1,1,1
102766,2,3,3,2,3,3,3,1,1,1,1,1,1
102767,2,3,3,2,2,3,3,1,1,2,1,1,1
102784,2,3,3,3,3,2,3,1,1,1,1,1,1
102812,2,3,2,3,2,3,3,1,1,1,1,1,1
102832,2,3,3,3,2,3,3,1,1,1,1,1,1
102861,2,3,2,2,3,3,3,1,1,1,1,1,1
102926,2,3,3,3,2,3,3,1,1,1,1,1,1
102938,2,3,3,3,3,3,3,1,1,1,1,1,1
102945,2,3,3,2,3,2,3,1,1,1,1,1,1
103056,2,3,3,0,2,3,3,1,1,2,1,1,1
103059,2,3,3,0,3,3,3,1,1,9,1,1,1
103089,2,3,2,0,3,3,3,1,3,3,1,1,1
103144,2,3,2,2,3,3,3,1,1,1,1,1,1
103154,2,3,3,2,3,3,3,1,1,1,1,1,1
103193,2,3,3,3,3,2,3,1,1,1,1,1,1
103230,2,3,3,2,3,3,3,1,1,1,1,1,1
103241,2,3,2,2,3,3,3,1,1,1,1,1,1
103277,2,3,3,3,3,3,3,1,1,1,1,1,1
103328,2,3,1,0,3,2,3,1,1,1,1,1,1
103336,2,3,3,1,3,2,3,1,1,1,1,1,1
103353,2,3,3,2,3,3,3,1,1,9,1,1,1
103361,2,3,1,3,3,3,3,1,1,1,1,1,1
103379,2,3,3,2,2,3,3,9,1,9,9,9,9
103406,2,3,2,0,1,3,2,1,1,9,1,1,3
103517,2,3,2,1,2,2,3,1,1,2,1,2,1
103542,2,3,0,0,0,3,3,1,1,9,1,1,1
103590,2,3,3,1,3,3,3,1,1,1,1,1,1
103593,2,3,3,0,3,3,3,1,1,9,1,1,1
103595,2,3,3,3,3,3,3,1,1,1,1,1,1
103664,2,3,3,1,1,3,2,1,1,1,1,1,1
103679,2,3,3,1,2,3,3,1,1,1,1,1,1
103701,2,3,3,3,3,3,3,1,1,1,1,1,1
103739,2,3,3,3,3,3,3,1,1,1,1,1,1
103787,2,3,3,2,3,3,3,9,9,9,2,1,1
103795,2,3,3,3,3,3,3,1,1,1,1,1,1
103846,2,3,1,0,2,3,3,1,1,2,1,1,1
103875,2,3,3,3,3,2,3,1,1,1,1,1,1
103879,2,3,3,1,1,1,3,1,1,1,1,1,1
103892,2,3,3,2,2,3,2,3,2,1,1,1,9
103914,2,3,2,3,1,2,3,1,1,3,2,1,1
103964,2,3,3,2,3,2,3,1,1,1,1,1,1
103969,2,3,2,2,2,3,3,1,1,1,1,1,1
103990,2,3,1,3,3,3,3,1,1,1,1,1,1
103998,2,3,3,3,3,3,3,1,1,1,1,1,1
104014,2,3,3,3,3,3,3,1,1,1,1,1,1
104096,2,3,2,3,2,3,3,1,1,1,1,1,1
104126,2,3,0,3,3,3,3,1,1,1,1,1,1
104143,2,3,3,3,3,3,3,1,1,1,1,1,1
104190,2,3,3,3,3,3,3,1,1,1,1,1,1
104219,2,3,2,1,2,1,3,1,1,1,3,1,1
104228,2,3,1,1,3,3,3,1,1,3,1,1,1
104275,2,3,3,1,3,3,2,1,1,2,2,1,1
200109,2,3,2,3,3,2,2,1,1,1,1,1,1
200173,2,3,3,0,2,3,3,1,1,1,1,1,1
200259,2,3,2,1,3,2,2,1,1,9,1,1,1
200534,2,3,3,3,3,3,3,1,1,1,1,2,1
200683,2,3,3,3,3,3,3,1,1,1,1,1,1
200712,2,3,2,1,3,3,3,1,1,1,1,1,1
200788,2,3,3,2,2,3,3,1,1,1,1,1,1
200807,2,3,3,3,3,2,3,1,1,2,2,1,1
200916,2,3,3,0,1,3,3,1,2,2,1,1,1
200927,2,3,3,3,3,3,3,1,1,3,1,1,1
200997,2,3,3,0,3,3,3,1,1,1,1,1,1
201220,2,3,2,2,2,3,3,1,1,1,1,1,1
201323,2,3,3,3,2,3,3,1,1,1,1,1,1
201342,2,3,3,3,3,3,3,1,1,2,1,1,1
201504,2,3,3,2,3,3,3,1,1,1,1,1,1
201548,2,3,3,3,2,3,3,1,1,1,1,1,1
201668,2,3,3,3,3,3,3,1,1,1,1,1,1
201673,2,3,3,3,3,3,3,1,1,1,1,1,1
201714,2,3,2,3,3,3,3,1,1,1,1,1,1
201857,2,3,2,2,3,3,3,1,1,1,1,1,1
202002,2,3,1,2,3,3,3,1,1,1,1,1,1
202115,2,3,3,3,3,3,3,1,1,1,1,1,1
202135,2,3,3,3,3,3,3,1,1,1,1,1,1
202227,2,3,3,0,3,3,3,1,1,1,1,1,1
202279,2,3,3,2,3,3,3,1,1,1,1,1,1
202340,2,3,3,3,3,3,3,1,1,1,1,1,1
202362,2,3,3,0,1,3,3,1,1,1,1,1,1
202469,2,3,3,3,2,2,3,1,1,9,1,1,1
202713,2,3,3,3,1,3,3,2,2,2,1,1,1
202756,2,3,3,2,3,3,3,1,1,1,1,1,1
202764,2,3,2,3,3,2,3,1,1,1,1,1,1
202901,2,3,3,2,3,3,3,1,1,1,1,1,1
202907,2,3,3,2,3,2,3,1,1,1,1,1,1
202985,2,3,3,1,2,3,3,1,1,1,1,1,1
203000,2,3,3,2,3,3,2,1,2,1,1,1,1
203143,2,3,2,1,3,3,3,1,1,2,1,1,1
203270,2,3,2,2,2,3,3,1,1,1,1,1,1
203484,2,3,3,1,2,3,3,1,1,3,2,1,1
203696,2,3,3,0,3,3,3,1,1,9,1,1,1
203707,2,3,3,0,3,3,3,1,1,9,1,1,1
203735,2,3,2,3,3,3,2,1,1,1,1,1,1
203781,2,3,2,2,2,3,3,1,1,2,9,1,1
203816,2,3,3,3,1,1,2,1,1,1,1,1,1
203891,2,3,2,3,0,2,3,1,1,1,1,1,1
203941,2,3,3,3,3,3,3,1,1,1,1,1,1
203970,2,3,2,2,2,3,3,1,1,9,9,9,1
204070,2,3,3,0,3,3,3,1,3,3,3,1,1
204311,2,3,2,2,2,2,3,1,1,9,1,1,1
204394,2,3,2,1,3,3,3,1,1,2,1,1,1
204435,2,3,3,3,2,3,3,1,1,1,1,1,1
204489,2,3,3,2,3,3,3,1,1,1,1,1,1
204645,2,3,3,3,3,3,3,1,9,9,9,9,1
204904,2,3,3,3,3,3,3,1,1,1,1,1,1
205164,2,3,2,3,3,3,2,1,2,9,1,1,1
205322,2,3,3,2,3,3,3,1,1,1,1,1,1
205393,2,3,1,0,1,3,3,1,1,3,1,1,1
205588,2,3,3,1,1,3,3,1,1,2,1,1,1
205592,2,3,2,0,2,2,3,1,1,1,1,1,1
205638,2,3,3,3,2,3,3,1,1,1,1,1,1
205947,2,3,2,2,1,2,3,1,1,1,1,1,1
205998,2,3,3,3,3,3,3,1,1,1,1,1,1
206078,2,3,3,3,3,3,3,1,1,1,1,1,1
206170,2,3,1,0,0,3,3,1,1,3,1,1,1
206247,2,3,3,3,3,3,3,1,1,1,1,1,1
206546,2,3,3,1,3,3,3,1,1,1,1,1,1
206625,2,3,3,2,3,3,3,1,1,1,2,1,1
206683,2,3,3,1,3,2,3,1,1,1,1,1,1
206769,2,3,3,3,3,3,3,1,1,1,1,1,1
206781,2,3,2,3,3,3,3,1,1,1,1,1,1
206784,2,3,3,3,3,3,3,1,1,1,1,1,1
206942,2,3,3,3,3,2,3,1,1,1,1,1,1
206947,2,3,3,1,2,3,3,1,1,1,1,1,1
206977,2,3,3,3,3,2,3,1,1,1,1,1,1
207275,2,3,3,3,3,3,3,1,1,1,1,1,1
207278,2,3,3,1,3,3,3,1,1,2,1,1,1
207304,2,3,3,2,3,3,3,1,1,1,1,1,1
207455,2,3,3,3,3,3,3,1,1,1,1,1,1
207541,2,3,2,3,0,3,2,1,2,2,1,2,1
50013,1,2,3,2,2,2,3,2,2,2,2,2,2
50171,1,2,3,2,2,2,2,2,2,2,2,2,2
50207,1,2,3,0,2,2,2,9,2,2,2,2,2
50232,1,2,3,3,3,2,3,2,2,2,2,2,9
50358,1,2,3,2,2,3,3,3,2,2,1,2,3
50368,1,2,3,3,3,2,3,2,2,2,2,2,2
50467,1,2,3,2,2,1,1,2,2,2,2,2,2
50496,1,2,2,2,2,2,2,2,2,2,2,2,2
50533,1,2,2,3,2,3,2,2,2,2,2,2,2
50537,1,2,3,0,2,2,2,2,2,2,2,2,2
50539,1,2,3,1,3,3,2,3,2,2,2,2,2
50581,1,2,3,0,3,0,2,2,2,2,2,2,2
50625,1,2,2,2,3,3,3,1,1,2,1,3,3
50764,1,2,3,3,3,2,1,2,2,2,2,3,2
51053,1,2,3,3,3,2,3,2,2,2,2,2,2
51071,1,2,3,3,2,2,3,2,2,2,2,1,2
51075,1,2,3,0,2,2,1,9,9,9,9,9,9
51129,1,2,2,3,3,2,2,2,2,2,2,2,2
51224,1,2,3,3,2,3,3,2,2,2,2,2,2
51351,1,2,3,2,2,2,2,2,2,2,2,2,2
51362,1,2,2,3,2,2,2,2,2,2,2,2,9
51386,1,2,3,3,3,2,2,2,2,2,2,2,2
51388,1,2,3,2,3,2,3,2,2,2,2,2,2
51405,1,2,2,2,2,3,2,2,2,2,2,2,2
51623,1,2,3,2,2,2,2,2,2,9,2,2,9
51627,1,2,2,1,3,3,2,1,2,2,2,2,1
51683,1,2,3,1,3,2,3,2,2,2,2,2,2
51704,1,2,3,1,2,3,3,2,2,9,2,2,2
51777,1,2,3,3,3,3,3,2,2,2,2,2,2
51942,1,2,2,3,2,3,2,3,2,3,3,2,3
52004,1,2,2,2,2,2,2,2,2,2,2,2,2
52020,1,2,3,3,3,2,2,2,2,2,2,2,2
52087,1,2,3,0,2,3,0,2,2,2,2,2,2
75029,1,2,3,3,3,1,1,3,3,2,2,3,3
75052,1,2,2,0,3,2,2,2,2,2,2,2,2
75060,1,2,3,3,2,2,2,2,2,2,2,2,2
75089,1,2,2,2,1,2,2,2,2,2,2,2,2
75159,1,2,3,1,2,2,2,2,2,2,2,2,2
75179,1,2,3,2,2,2,2,2,2,2,2,2,3
75358,1,2,2,2,2,2,2,2,2,2,2,2,2
75369,1,2,3,3,3,3,3,9,2,2,9,2,9
75434,1,2,2,3,3,0,2,2,2,2,2,1,2
75561,1,2,2,3,3,3,3,2,2,2,2,2,2
75564,1,2,3,3,2,3,2,2,2,2,1,9,2
75764,1,2,2,2,2,2,2,2,2,2,2,2,2
75787,1,2,3,2,3,2,1,3,2,2,2,2,3
75828,1,2,3,0,3,3,3,3,2,3,2,1,2
76150,1,2,3,2,3,2,1,2,2,1,2,1,2
76502,1,2,2,2,3,3,3,2,2,2,2,2,2
76544,1,2,3,2,2,2,0,2,2,2,2,2,2
76565,1,2,2,3,2,2,2,2,2,2,2,2,2
76765,1,2,2,1,2,1,1,2,2,2,2,2,2
100065,1,2,2,2,2,1,2,2,2,2,2,1,1
100229,1,2,3,1,3,2,3,2,2,2,2,2,2
100428,1,2,3,3,2,3,3,2,2,2,2,2,2
100503,1,2,3,1,3,3,1,2,2,2,2,2,2
100519,1,2,3,2,2,2,2,2,2,2,2,2,2
100824,1,2,3,2,3,3,1,2,2,2,2,2,3
100832,1,2,3,3,3,2,2,3,2,2,2,2,3
101042,1,2,3,2,2,3,3,2,2,2,2,2,2
101050,1,2,2,1,3,2,1,2,2,2,2,2,1
101071,1,2,2,3,3,2,3,2,2,2,2,2,2
101169,1,2,3,0,2,1,1,2,2,2,2,2,2
101243,1,2,3,1,3,2,1,2,2,2,2,2,2
101269,1,2,3,3,3,2,2,2,2,2,2,1,2
101390,1,2,2,1,2,2,2,2,2,2,2,2,2
101445,1,2,2,2,2,1,2,2,2,2,2,2,2
101478,1,2,2,0,2,3,3,1,2,9,2,2,1
102122,1,2,3,2,2,2,2,2,2,2,2,2,2
102395,1,2,3,0,3,2,1,2,2,2,2,2,2
102406,1,2,3,2,3,2,1,2,2,3,2,2,2
102611,1,2,2,2,2,2,2,2,2,2,2,2,2
102738,1,2,2,3,2,2,2,2,2,2,2,2,2
102773,1,2,2,0,2,2,3,1,2,2,2,2,1
102854,1,2,3,3,2,3,2,9,9,9,9,9,9
103119,1,2,3,1,1,3,3,1,2,2,2,2,2
103209,1,2,3,2,3,1,1,2,2,2,2,2,2
103663,1,2,2,2,2,2,2,3,3,2,2,3,3
104062,1,2,0,3,0,0,2,2,2,9,2,2,2
104250,1,2,1,3,2,3,1,2,2,2,2,2,1
200465,1,2,2,0,3,1,1,2,2,9,2,2,2
201089,1,2,2,2,2,1,2,2,2,2,2,2,2
201391,1,2,3,0,3,2,0,2,2,2,3,2,3
201627,1,2,3,3,2,2,2,2,2,2,2,2,2
202231,1,2,2,1,2,1,2,1,2,2,2,2,1
202727,1,2,3,3,3,3,3,2,2,2,2,2,2
202874,1,2,2,2,2,3,3,2,2,2,2,2,2
203495,1,2,3,2,2,2,0,2,2,2,2,2,2
204339,1,2,2,2,3,3,2,2,2,2,2,2,2
204513,1,2,3,3,3,2,2,2,2,2,2,2,2
204749,1,2,2,2,2,2,1,2,2,2,2,2,2
204905,1,2,3,3,2,3,3,2,2,2,2,2,2
205698,1,2,3,2,3,3,2,2,2,2,2,2,9
205883,1,2,2,3,3,2,2,2,2,2,2,2,2
205989,1,2,2,0,3,2,2,2,2,2,2,1,1
206046,1,2,3,3,2,3,2,2,2,2,2,2,2
206148,1,2,3,3,3,3,1,2,2,2,2,2,2
206313,1,2,2,1,1,2,3,2,2,1,2,2,2
207098,1,2,3,3,2,3,2,2,2,2,2,2,2
207321,1,2,3,3,3,0,2,2,2,2,2,2,2
207362,1,2,2,3,3,2,3,9,2,2,2,1,1
207457,1,2,3,2,2,2,2,2,2,1,2,2,1
207488,1,2,3,3,3,1,2,2,2,2,2,3,3
50866,2,2,3,1,3,2,3,1,1,1,3,1,1
50978,2,2,2,0,3,2,2,1,1,3,1,1,1
51015,2,2,3,0,0,0,0,9,9,9,9,9,9
51273,2,2,3,3,3,2,3,1,1,1,1,1,1
51357,2,2,3,3,2,3,2,1,1,1,1,1,1
51385,2,2,2,3,2,2,3,1,1,1,3,1,3
51423,2,2,2,3,1,2,2,1,1,1,1,1,1
51441,2,2,3,3,2,2,2,2,2,9,9,1,1
